id_materie,materie,an,semestru,specializarea,departament
88,Prelucrarea Matematica a semnalelor,1,1,SIAPS,Automatica si Informatica Aplicata
89,Sisteme distribuite si senzori inteligenti,1,1,SIAPS,Automatica si Informatica Aplicata
90,Tehnologii de programare Web,1,1,SIAPS,Automatica si Informatica Aplicata
91,Inteligena artificiala si sisteme autonome,2,1,SIAPS,Automatica si Informatica Aplicata
92,Logistica industriala si comerciala,2,1,SIAPS,Automatica si Informatica Aplicata
93,Sisteme multiagent,2,1,SIAPS,Automatica si Informatica Aplicata
94,Tehnologii Java,2,1,SIAPS,Automatica si Informatica Aplicata
95,Inteligenta artificiala si sisteme expert,1,1,TI,Automatica si Informatica Aplicata
96,Modelarea si simularea sistemelor discrete,1,1,TI,Automatica si Informatica Aplicata
97,Tehnici avansate de compilare,1,1,TI,Calculatoare si Tehnologia Informatiei
98,Tehnologii internet,1,1,TI,Automatica si Informatica Aplicata
99,Metode de testare software,2,1,TI,Automatica si Informatica Aplicata
100,Programarea sistemelor incorporate,2,1,TI,Calculatoare si Tehnologia Informatiei
101,Proiectarea arhitecturala a sistemelor software,2,1,TI,Calculatoare si Tehnologia Informatiei
102,Sisteme autoadaptive: design si aplicatii,2,1,TI,Calculatoare si Tehnologia Informatiei
103,Baze de date in ingrijirea sanatatii,1,1,SIIS,Automatica si Informatica Aplicata
104,Bioinformatica si modelare statistica,1,1,SIIS,Externi-medicina
105,Evidenta electronica a starii de sanatate a pacientului,1,1,SIIS,Automatica si Informatica Aplicata
106,Fundamente de sisteme biologice si informatica medicala,1,1,SIIS,Automatica si Informatica Aplicata
107,Echipamente medicale,2,1,SIIS,Mecanica
108,Imagistica medicala,2,1,SIIS,Automatica si Informatica Aplicata
109,Interactiunea om-calculator in ingrijirea sanatatii,2,1,SIIS,Automatica si Informatica Aplicata
110,Metode de comunicare in informatica medicala,2,1,SIIS,Externi-medicina
111,Algebra si geometrie,1,1,CTI,Matematica
112,Analiza Matematica,1,1,CTI,Matematica
113,Engleza,1,1,CTI,Comunicare si Limbi Straine
114,Fizica,1,1,CTI,Bazele Fizice ale Ingineriei
115,Franceza,1,1,CTI,Comunicare si Limbi Straine
116,Fundamente de inginerie mecanica si robotica,1,1,CTI,Mecanica
117,Germana,1,1,CTI,Comunicare si Limbi Straine
118,Logica si structuri discrete,1,1,CTI,Calculatoare si Tehnologia Informatiei
119,Programarea calculatoarelor,1,1,CTI,Calculatoare si Tehnologia Informatiei
120,Arhitectura calculatoarelor,2,1,CTI,Calculatoare si Tehnologia Informatiei
121,Circuite digitale,2,1,CTI,Calculatoare si Tehnologia Informatiei
122,Comunicare,2,1,CTI,Comunicare si Limbi Straine
123,"Principii, tehnici si dispozitivede masurare",2,1,CTI,Masurari si Electronica Optica
124,Programarea orientata pe obiecte,2,1,CTI,Calculatoare si Tehnologia Informatiei
125,Structuri de date si algoritmi,2,1,CTI,Calculatoare si Tehnologia Informatiei
126,Teoria sistemelor,2,1,CTI,Automatica si Informatica Aplicata
127,Calitate in tehnologia informatiei,3,1,CTI,Calculatoare si Tehnologia Informatiei
128,Circuite integrate pe scara larga,3,1,CTI,Calculatoare si Tehnologia Informatiei
129,Fundamente de ingineria calculatoarelor,3,1,CTI,Calculatoare si Tehnologia Informatiei
130,Management si marketing,3,1,CTI,Management
131,Programarea in limbaj de asamblare,3,1,CTI,Calculatoare si Tehnologia Informatiei
